fips,county,state,date,poll_places,voter_per_poll,tot_reg,tot_ear,tot_abs_in_person,tot_abs_mail,tot_abs,tot_grace,tot_failsafe,tot_prov,tot_prov_failsafe,tot,caucus,source,notes
9001,Fairfield,CT,2020-08-11,23,1596.26087,36714,,,,53243,,,,,89957,0,,
9003,Hartford,CT,2020-08-11,29,1227.551724,35599,,,,58078,,,,,93677,0,,
9005,Litchfield,CT,2020-08-11,26,309.8846154,8057,,,,11016,,,,,19073,0,,
9007,Middlesex,CT,2020-08-11,15,604.2,9063,,,,11751,,,,,20814,0,,
9009,New Haven,CT,2020-08-11,27,1214.62963,32795,,,,46246,,,,,79041,0,,
9011,New London,CT,2020-08-11,21,494.3333333,10381,,,,17732,,,,,28113,0,,
9013,Tolland,CT,2020-08-11,13,424.6153846,5520,,,,10204,,,,,15724,0,,
9015,Windham,CT,2020-08-11,15,280.1333333,4202,,,,5266,,,,,9468,0,,
22001,Acadia,LA,2020-07-11,55,13.12727273,722,,,,821,,,,,1543,0,,
22003,Allen,LA,2020-07-11,28,8.142857143,228,,,,262,,,,,490,0,,
22005,Ascension,LA,2020-07-11,73,45.2739726,3305,,,,1748,,,,,5053,0,,
22007,Assumption,LA,2020-07-11,28,12.46428571,349,,,,404,,,,,753,0,,
22009,Avoyelles,LA,2020-07-11,49,6.06122449,297,,,,607,,,,,904,0,,
22011,Beauregard,LA,2020-07-11,40,13.575,543,,,,667,,,,,1210,0,,
22013,Bienville,LA,2020-07-11,33,6.090909091,201,,,,487,,,,,688,0,,
22015,Bossier,LA,2020-07-11,82,19.1097561,1567,,,,3183,,,,,4750,0,,
22017,Caddo,LA,2020-07-11,151,14.18543046,2142,,,,8138,,,,,10280,0,,
22019,Calcasieu,LA,2020-07-11,123,23.88617886,2938,,,,4133,,,,,7071,0,,
22021,Caldwell,LA,2020-07-11,19,8.631578947,164,,,,173,,,,,337,0,,
22023,Cameron,LA,2020-07-11,14,11.28571429,158,,,,179,,,,,337,0,,
22025,Catahoula,LA,2020-07-11,25,5.84,146,,,,187,,,,,333,0,,
22027,Claiborne,LA,2020-07-11,25,15.88,397,,,,317,,,,,714,0,,
22029,Concordia,LA,2020-07-11,20,50.05,1001,,,,371,,,,,1372,0,,
22031,De Soto,LA,2020-07-11,37,13.43243243,497,,,,644,,,,,1141,0,,
22033,East Baton Rouge,LA,2020-07-11,329,45.22796353,14880,,,,12729,,,,,27609,0,,
22035,East Carroll,LA,2020-07-11,17,8.058823529,137,,,,119,,,,,256,0,,
22037,East Feliciana,LA,2020-07-11,24,42.625,1023,,,,621,,,,,1644,0,,
22039,Evangeline,LA,2020-07-11,56,18.17857143,1018,,,,402,,,,,1420,0,,
22041,Franklin,LA,2020-07-11,24,19.75,474,,,,366,,,,,840,0,,
22043,Grant,LA,2020-07-11,34,9.029411765,307,,,,413,,,,,720,0,,
22045,Iberia,LA,2020-07-11,64,17.078125,1093,,,,1493,,,,,2586,0,,
22047,Iberville,LA,2020-07-11,39,7.333333333,286,,,,733,,,,,1019,0,,
22049,Jackson,LA,2020-07-11,31,11.58064516,359,,,,398,,,,,757,0,,
22051,Jefferson,LA,2020-07-11,272,21.5625,5865,,,,8205,,,,,14070,0,,
22053,Jefferson Davis,LA,2020-07-11,22,26.77272727,589,,,,621,,,,,1210,0,,
22055,Lafayette,LA,2020-07-11,127,17.37795276,2207,,,,4640,,,,,6847,0,,
22057,Lafourche,LA,2020-07-11,73,41.52054795,3031,,,,1131,,,,,4162,0,,
22059,La Salle,LA,2020-07-11,24,14.54166667,349,,,,245,,,,,594,0,,
22061,Lincoln,LA,2020-07-11,53,15.13207547,802,,,,1086,,,,,1888,0,,
22063,Livingston,LA,2020-07-11,79,39.70886076,3137,,,,2279,,,,,5416,0,,
22065,Madison,LA,2020-07-11,26,8.884615385,231,,,,278,,,,,509,0,,
22067,Morehouse,LA,2020-07-11,43,17.97674419,773,,,,722,,,,,1495,0,,
22069,Natchitoches,LA,2020-07-11,50,39.72,1986,,,,1018,,,,,3004,0,,
22071,Orleans,LA,2020-07-11,351,44.92307692,15768,,,,7550,,,,,23318,0,,
22073,Ouachita,LA,2020-07-11,87,77.51724138,6744,,,,3658,,,,,10402,0,,
22075,Plaquemines,LA,2020-07-11,16,36.5625,585,,,,215,,,,,800,0,,
22077,Pointe Coupee,LA,2020-07-11,28,10.85714286,304,,,,533,,,,,837,0,,
22079,Rapides,LA,2020-07-11,113,19.78761062,2236,,,,2958,,,,,5194,0,,
22081,Red River,LA,2020-07-11,18,6.944444444,125,,,,187,,,,,312,0,,
22083,Richland,LA,2020-07-11,23,17.43478261,401,,,,449,,,,,850,0,,
22085,Sabine,LA,2020-07-11,39,6.205128205,242,,,,353,,,,,595,0,,
22087,St Bernard,LA,2020-07-11,31,19.03225806,590,,,,281,,,,,871,0,,
22089,St Charles,LA,2020-07-11,45,26.04444444,1172,,,,899,,,,,2071,0,,
22091,St Helena,LA,2020-07-11,11,36.18181818,398,,,,410,,,,,808,0,,
22093,St James,LA,2020-07-11,30,26.36666667,791,,,,524,,,,,1315,0,,
22095,St John the Baptist,LA,2020-07-11,38,28.60526316,1087,,,,851,,,,,1938,0,,
22097,St Landry,LA,2020-07-11,92,9.02173913,830,,,,1700,,,,,2530,0,,
22099,St Martin,LA,2020-07-11,51,15.50980392,791,,,,997,,,,,1788,0,,
22101,St Mary,LA,2020-07-11,51,15.74509804,803,,,,709,,,,,1512,0,,
22103,St Tammany,LA,2020-07-11,169,50.18934911,8482,,,,7954,,,,,16436,0,,
22105,Tangipahoa,LA,2020-07-11,87,27.59770115,2401,,,,2915,,,,,5316,0,,
22107,Tensas,LA,2020-07-11,16,7.9375,127,,,,219,,,,,346,0,,
22109,Terrebonne,LA,2020-07-11,91,11.84615385,1078,,,,1419,,,,,2497,0,,
22111,Union,LA,2020-07-11,29,15.13793103,439,,,,332,,,,,771,0,,
22113,Vermilion,LA,2020-07-11,55,9.163636364,504,,,,884,,,,,1388,0,,
22115,Vernon,LA,2020-07-11,68,7.867647059,535,,,,432,,,,,967,0,,
22117,Washington,LA,2020-07-11,41,19.58536585,803,,,,861,,,,,1664,0,,
22119,Webster,LA,2020-07-11,39,13.87179487,541,,,,986,,,,,1527,0,,
22121,West Baton Rouge,LA,2020-07-11,29,22.24137931,645,,,,449,,,,,1094,0,,
22123,West Carroll,LA,2020-07-11,17,8.705882353,148,,,,155,,,,,303,0,,
22125,West Feliciana,LA,2020-07-11,35,31.17142857,1091,,,,175,,,,,1266,0,,
22127,Winn,LA,2020-07-11,31,7.612903226,236,,,,209,,,,,445,0,,
10001,Kent,DE,2020-07-07,41,321,13161,,,,8188,,,,,21349,0,,
10003,New Castle,DE,2020-07-07,169,241.3668639,40791,,,,31694,,,,,72485,0,,
10005,Sussex,DE,2020-07-07,59,257.5254237,15194,,,,16624,,,,,31818,0,,
