fips,EVENT_DATE,event_count,size
17199,2020-05-24,1,50
36081,2020-05-24,1,10
17031,2020-05-25,1,300
21073,2020-05-25,1,12
33015,2020-05-25,1,3
34029,2020-05-25,1,200
37119,2020-05-25,1,12
42039,2020-05-25,1,200
6059,2020-05-26,1,80
6107,2020-05-26,1,40
18141,2020-05-26,1,30
24027,2020-05-26,1,84
26161,2020-05-26,1,30
27053,2020-05-26,1,3000
27137,2020-05-26,1,12
42101,2020-05-26,1,40
6037,2020-05-27,1,400
6067,2020-05-27,1,30
6073,2020-05-27,1,50
24015,2020-05-27,1,50
26161,2020-05-27,1,100
27053,2020-05-27,1,3000
27137,2020-05-27,1,100
36061,2020-05-27,1,30
37119,2020-05-27,1,3
37183,2020-05-27,1,3
40143,2020-05-27,1,30
45003,2020-05-27,1,4
47157,2020-05-27,1,75
53007,2020-05-27,1,24
1073,2020-05-28,1,100
4013,2020-05-28,1,300
6001,2020-05-28,2,110
6037,2020-05-28,3,180
6071,2020-05-28,1,100
6085,2020-05-28,2,200
6095,2020-05-28,1,100
8069,2020-05-28,1,100
12081,2020-05-28,1,20
12095,2020-05-28,1,30
17031,2020-05-28,1,50
21111,2020-05-28,1,550
23001,2020-05-28,1,30
23005,2020-05-28,1,30
23011,2020-05-28,1,12
23019,2020-05-28,1,30
25025,2020-05-28,1,30
26065,2020-05-28,1,50
26161,2020-05-28,2,600
27003,2020-05-28,1,6
27035,2020-05-28,1,60
27037,2020-05-28,1,2
27103,2020-05-28,1,300
27123,2020-05-28,1,300
27137,2020-05-28,1,100
27163,2020-05-28,1,6
29189,2020-05-28,1,30
29510,2020-05-28,1,300
31055,2020-05-28,1,40
32003,2020-05-28,1,100
34021,2020-05-28,1,30
35001,2020-05-28,1,400
36061,2020-05-28,1,200
36085,2020-05-28,1,50
39049,2020-05-28,1,300
41039,2020-05-28,2,80
41067,2020-05-28,1,7
45079,2020-05-28,1,50
47157,2020-05-28,1,100
48113,2020-05-28,1,15
48141,2020-05-28,1,12
48245,2020-05-28,1,300
4005,2020-05-29,1,100
4013,2020-05-29,1,3000
4019,2020-05-29,1,300
5143,2020-05-29,1,50
6019,2020-05-29,1,400
6037,2020-05-29,1,533
6041,2020-05-29,1,300
6071,2020-05-29,1,500
6073,2020-05-29,1,30
6079,2020-05-29,1,60
6099,2020-05-29,1,50
6111,2020-05-29,1,24
8013,2020-05-29,1,30
8067,2020-05-29,1,40
8069,2020-05-29,1,400
9003,2020-05-29,1,1000
9011,2020-05-29,1,10
11001,2020-05-29,1,3000
12033,2020-05-29,1,350
12053,2020-05-29,1,70
12095,2020-05-29,1,210
12103,2020-05-29,1,30
15003,2020-05-29,1,100
15009,2020-05-29,1,100
16019,2020-05-29,1,70
17019,2020-05-29,1,30
17031,2020-05-29,2,3060
17089,2020-05-29,1,100
17111,2020-05-29,1,12
17113,2020-05-29,1,18
17197,2020-05-29,1,100
18003,2020-05-29,1,300
18019,2020-05-29,1,40
18039,2020-05-29,1,200
18089,2020-05-29,1,25
19013,2020-05-29,1,300
19153,2020-05-29,1,1000
19193,2020-05-29,1,100
21151,2020-05-29,1,100
22071,2020-05-29,1,30
24510,2020-05-29,1,300
25013,2020-05-29,1,300
25025,2020-05-29,1,3000
26077,2020-05-29,1,300
26103,2020-05-29,1,200
26125,2020-05-29,1,20
26161,2020-05-29,2,700
26163,2020-05-29,1,1500
27013,2020-05-29,1,1000
27109,2020-05-29,1,100
27145,2020-05-29,1,300
28035,2020-05-29,1,200
29019,2020-05-29,1,600
29095,2020-05-29,2,312
29510,2020-05-29,1,1500
30063,2020-05-29,1,300
31055,2020-05-29,1,3000
32003,2020-05-29,2,480
35013,2020-05-29,1,30
35049,2020-05-29,1,300
36009,2020-05-29,1,300
36015,2020-05-29,1,50
36019,2020-05-29,1,12
36047,2020-05-29,1,3000
36061,2020-05-29,2,3300
36119,2020-05-29,1,300
37119,2020-05-29,1,15
39041,2020-05-29,1,400
39151,2020-05-29,1,400
41039,2020-05-29,1,300
41041,2020-05-29,1,3000
41051,2020-05-29,1,1000
41067,2020-05-29,1,300
42003,2020-05-29,1,4
47093,2020-05-29,1,300
47157,2020-05-29,1,200
48183,2020-05-29,1,200
48209,2020-05-29,1,30
48439,2020-05-29,1,30
48453,2020-05-29,1,87
48469,2020-05-29,1,20
49035,2020-05-29,1,175
49057,2020-05-29,1,20
51121,2020-05-29,1,50
51540,2020-05-29,1,15
51660,2020-05-29,1,300
54061,2020-05-29,1,9
55063,2020-05-29,1,300
55073,2020-05-29,1,100
55079,2020-05-29,1,1000
1073,2020-05-30,2,1020
1081,2020-05-30,1,250
1101,2020-05-30,1,400
2020,2020-05-30,1,100
2110,2020-05-30,1,250
4013,2020-05-30,1,44
4019,2020-05-30,1,400
4025,2020-05-30,1,150
4027,2020-05-30,1,30
5119,2020-05-30,1,450
5139,2020-05-30,1,10
5143,2020-05-30,1,300
6007,2020-05-30,1,100
6023,2020-05-30,1,300
6029,2020-05-30,1,150
6037,2020-05-30,4,3000
6047,2020-05-30,1,400
6053,2020-05-30,2,600
6059,2020-05-30,2,500
6065,2020-05-30,2,550
6067,2020-05-30,1,22
6071,2020-05-30,2,212
6073,2020-05-30,2,180
6075,2020-05-30,1,100
6083,2020-05-30,1,300
6087,2020-05-30,1,300
6095,2020-05-30,1,100
6097,2020-05-30,1,400
6099,2020-05-30,1,24
6107,2020-05-30,2,200
6111,2020-05-30,2,400
6113,2020-05-30,1,100
8013,2020-05-30,1,500
8031,2020-05-30,1,3000
8041,2020-05-30,1,3000
8045,2020-05-30,1,200
8067,2020-05-30,1,300
8069,2020-05-30,1,70
8097,2020-05-30,1,9
8101,2020-05-30,1,50
8125,2020-05-30,1,60
9001,2020-05-30,2,450
9007,2020-05-30,1,300
9009,2020-05-30,1,30
9011,2020-05-30,2,500
10003,2020-05-30,1,1000
11001,2020-05-30,3,386
12001,2020-05-30,1,1000
12005,2020-05-30,1,20
12023,2020-05-30,1,100
12031,2020-05-30,1,3000
12033,2020-05-30,1,50
12057,2020-05-30,2,1057
12071,2020-05-30,1,70
12086,2020-05-30,2,257
12095,2020-05-30,1,300
12099,2020-05-30,2,400
12103,2020-05-30,1,300
12109,2020-05-30,1,200
12115,2020-05-30,1,13
13015,2020-05-30,1,200
13051,2020-05-30,1,1000
13057,2020-05-30,1,60
13077,2020-05-30,1,30
13095,2020-05-30,1,45
13121,2020-05-30,1,20
13135,2020-05-30,1,4
13139,2020-05-30,1,20
13153,2020-05-30,1,30
13185,2020-05-30,1,50
13245,2020-05-30,1,105
15009,2020-05-30,1,150
17001,2020-05-30,1,25
17019,2020-05-30,1,30
17031,2020-05-30,2,420
17037,2020-05-30,1,300
17043,2020-05-30,1,30
17091,2020-05-30,1,100
17095,2020-05-30,1,200
17113,2020-05-30,1,100
17115,2020-05-30,1,15
17121,2020-05-30,1,75
17143,2020-05-30,1,1000
17145,2020-05-30,1,20
17163,2020-05-30,1,100
17197,2020-05-30,1,100
18019,2020-05-30,1,75
18035,2020-05-30,1,100
18037,2020-05-30,1,200
18053,2020-05-30,1,40
18067,2020-05-30,1,12
18097,2020-05-30,1,2000
18127,2020-05-30,1,125
18141,2020-05-30,1,300
19013,2020-05-30,1,1650
19103,2020-05-30,1,300
19113,2020-05-30,1,3000
19153,2020-05-30,1,47
19169,2020-05-30,1,300
20005,2020-05-30,1,250
20161,2020-05-30,1,150
20173,2020-05-30,1,1800
20177,2020-05-30,1,300
20209,2020-05-30,1,450
21059,2020-05-30,1,100
21111,2020-05-30,1,300
21151,2020-05-30,1,100
21227,2020-05-30,1,100
22055,2020-05-30,1,300
22071,2020-05-30,1,300
24510,2020-05-30,1,300
25001,2020-05-30,1,100
25003,2020-05-30,1,300
25005,2020-05-30,1,100
25015,2020-05-30,1,60
25017,2020-05-30,1,400
25023,2020-05-30,1,100
25025,2020-05-30,1,30
25027,2020-05-30,1,200
26049,2020-05-30,1,300
26077,2020-05-30,1,300
26091,2020-05-30,2,150
26147,2020-05-30,1,24
26159,2020-05-30,1,24
26161,2020-05-30,1,300
26163,2020-05-30,2,500
27007,2020-05-30,1,300
27049,2020-05-30,1,100
27067,2020-05-30,1,15
27109,2020-05-30,1,300
27123,2020-05-30,2,3300
27137,2020-05-30,1,1000
28035,2020-05-30,1,150
28047,2020-05-30,1,50
28049,2020-05-30,1,200
28071,2020-05-30,1,400
28081,2020-05-30,1,300
29077,2020-05-30,1,300
