date,city,state,fips,zip,address,venue,speakers
2020-06-20,Tulsa,OK,40143,74103,200 S Denver Ave,BOK Center,"Lara Trump, Eric Trump, Mike Pence, Diamond and Silk, Kimberly Guilfoyle, T. W. Shannon"
2020-06-23,Phoenix,AZ,4013,85022,13613 N Cave Creek Rd,Dream City Church,"Donald Trump Jr., Kimberly Guilfoyle, Charlie Kirk"
2020-08-17,Mankato,MN,27013,56001,3030 N Airport Rd,Mankato Regional Airport,
2020-08-17,Oshkosh,WI,55139,54902,525 W 20th Ave,Wittman Regional Airport,
2020-08-18,Yuma,AZ,4027,85365,2191 E 32nd St # 218,Yuma International Airport,
2020-08-20,Old Forge,PA,42069,18518,1 Louis Industrial Dr,Mariotti Building Products,
2020-08-28,Londonderry,NH,33011,3103,1 Airport Rd,Manchester-Boston Regional Airport,
2020-09-03,Latrobe,PA,42129,15650,148 Aviation Ln # 103,Arnold Palmer Regional Airport,Sean Parnell
2020-09-08,Winston-Salem,NC,37067,27105,3801 N Liberty St # 204,Smith Reynolds Airport,
2020-09-10,Freeland,MI,26145,48623,9200 Garfield Rd,MBS International Airport,John E. James
2020-09-12,Minden,NV,32005,89423,1146 Airport Rd,Minden–Tahoe Airport,
2020-09-13,Henderson,NV,32003,89015,8350 Eastgate Rd,Xtreme Manufacturing,Kimberly Guilfoyle
2020-09-17,Mosinee,WI,55073,54455,100 CWA Dr,Central Wisconsin Airport,
2020-09-18,Bemidji,MN,27007,56601,3824 Moberg Dr NW,Bemidji Regional Airport,
2020-09-19,Fayetteville,NC,37051,28306,400 Airport Rd,Fayetteville Regional Airport,
2020-09-21,Vandalia,OH,39113,45377,3600 Terminal Dr,Dayton International Airport,
2020-09-21,Swanton,OH,39095,43558,11013 Airport Hwy,Toledo Express Airport,
2020-09-22,Pittsburgh,PA,42003,15231,1000 Airport Blvd,Pittsburgh International Airport,Sean Parnell
2020-09-24,Jacksonville,FL,12031,32221,13365 Simpson Way,Cecil Airport,
2020-09-25,Newport News,VA,51700,23602,900 Bland Blvd,Newport News/Williamsburg International Airport,Mike Pence
2020-09-26,Middletown,PA,42043,17057,1 Terminal Dr,Harrisburg International Airport,
2020-09-30,Duluth,MN,27137,55811,4701 Grinden Dr,Duluth International Airport,
2020-10-12,Sanford,FL,12117,32773,1200 Red Cleveland Blvd,Orlando Sanford International Airport,"Kimberly Guilfoyle, Ron DeSantis"
2020-10-13,Johnstown,PA,42021,15904,479 Airport Rd,John Murtha Johnstown-Cambria County Airport,
2020-10-14,Des Moines,IA,19153,50321,5800 Fleur Dr,Des Moines International Airport,Kim Reynolds
2020-10-15,Greenville,NC,37147,27834,400 Airport Rd,Pitt-Greenville Airport,
2020-10-16,Ocala,FL,12083,34474,1770 SW 60th Ave,Ocala International Airport,Ron DeSantis
2020-10-16,Macon,GA,13021,31297,1000 Terminal Dr,Middle Georgia Regional Airport,David Perdue
2020-10-17,Muskegon,MI,26121,49441,99 Sinclair Dr,Muskegon County Airport,
2020-10-17,Janesville,WI,55105,53546,4004 S Oakhill Ave,Southern Wisconsin Regional Airport,
2020-10-18,Carson City,NV,32510,89706,2600 E College Pkwy,Carson City Airport,
2020-10-19,Prescott,AZ,4025,86301,6500 Mac Curdy Dr,Prescott Regional Airport,"Martha McSally, Doug Ducey"
2020-10-19,Tucson,AZ,4019,85756,7250 S Tucson Blvd,Tucson International Airport,Doug Ducey
2020-10-20,Erie,PA,42049,16505,4411 W 12th St,Erie International Airport,
2020-10-21,Gastonia,NC,37071,28056,1126 Gaston Day School Rd,Gastonia Municipal Airport,
2020-10-23,The Villages,FL,12119,32162,703 N Buena Vista Blvd,The Villages Polo Club,
2020-10-23,Pensacola,FL,12033,32504,2430 Airport Blvd,Pensacola International Airport,
2020-10-24,Lumberton,NC,37155,28358,3750 Martin Luther King Jr Dr,Robeson County Fairgrounds,
2020-10-24,Circleville,OH,39129,43113,415 Lancaster Pike,Pickaway Agriculture and Event Center,
2020-10-24,Waukesha,WI,55133,53188,2525 Aviation Dr,Waukesha County Airport,
2020-10-25,Manchester,NH,33011,3103,"1 Airport Rd, Manchester",Manchester-Boston Regional Airport,
2020-10-26,Allentown,PA,42077,18109,4482 Innovation Way,HoverTech International,
2020-10-26,Lititz,PA,42071,17543,500 Airport Rd Suite G,Lancaster Airport,
2020-10-26,Martinsburg,PA,42013,16662,310 Airport Rd,Altoona–Blair County Airport,
2020-10-27,Lansing,MI,26037,48906,4100 Capitol City Blvd,Capital Region International Airport,
2020-10-27,West Salem,WI,55063,54669,N4985 Co Rd M,La Crosse Fairgrounds Speedway,
2020-10-27,Omaha,NE,31055,68110,4501 Abbott Dr,Eppley Airfield,
2020-10-28,Bullhead City,AZ,4015,86429,2550 Laughlin View Dr,Laughlin/Bullhead International Airport,
2020-10-28,Goodyear,AZ,4013,85338,1658 S Litchfield Rd,Phoenix Goodyear Airport,
2020-10-29,Tampa,FL,12057,33607,4201 N Dale Mabry Hwy,Raymond James Stadium,
2020-10-30,Waterford Township,MI,26125,48327,6500 Highland Rd,Oakland County International Airport,
2020-10-30,Green Bay,WI,55009,54313,2077 Airport Dr,Green Bay–Austin Straubel International Airport,
2020-10-30,Rochester,MN,27109,55902,7600 Helgerson Dr SW,Rochester International Airport,
2020-10-31,Newtown,PA,42017,,,Keith House,
2020-10-31,Reading,PA,42011,19605,2501 Bernville Rd,Reading Regional Airport,
2020-10-31,Butler,PA,42019,16002,473 Airport Rd #2,Pittsburgh-Butler Regional Airport,
2020-10-31,Montoursville,PA,42081,17754,724 Airport Rd,Williamsport Regional Airport,
2020-11-01,Washington,MI,26099,48047,51400 County Line Rd suite c,Michigan Stars Sports Center,
2020-11-01,Dubuque,IA,19061,52003,10965 Aviation Dr,Dubuque Regional Airport,
2020-11-01,Hickory,NC,37035,28601,3101 9th Ave Dr NW,Hickory Regional Airport,
2020-11-01,Rome,GA,13115,30165,304 Russell Field Rd NE,Richard B. Russell Airport,
2020-11-01,Opa-locka,FL,12086,33054,14201 NW 42nd Ave,Miami-Opa Locka Executive Airport,
2020-11-02,Fayetteville,NC,17035,28306,400 Airport Rd,Fayetteville Regional Airport,
2020-11-02,Scranton,PA,42079,18641,100 Terminal Rd,Wilkes-Barre Scranton International Airport,
2020-11-02,Traverse City,MI,26055,49686,727 Fly Don't Dr,Cherry Capital Airport,
2020-11-02,Kenosha,WI,55059,53144,9900 52nd St,Kenosha Regional Airport,
2020-11-02,Grand Rapids,MI,26081,49512,5500 44th St SE,Gerald R. Ford International Airport,
